# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
rhel.mac.local;600;2019-11-07 08:15:01 UTC;0;741;0.22;0.21;0.18;0
rhel.mac.local;600;2019-11-07 08:25:01 UTC;0;742;0.03;0.15;0.16;0
rhel.mac.local;600;2019-11-07 08:35:01 UTC;0;745;0.28;0.20;0.18;0
rhel.mac.local;600;2019-11-07 08:45:01 UTC;0;746;0.04;0.06;0.10;0
rhel.mac.local;600;2019-11-07 08:55:01 UTC;0;742;0.63;0.23;0.13;0
rhel.mac.local;599;2019-11-07 09:05:01 UTC;0;744;0.05;0.09;0.09;0
rhel.mac.local;600;2019-11-07 09:15:01 UTC;0;741;0.04;0.13;0.10;0
rhel.mac.local;600;2019-11-07 09:25:01 UTC;0;741;0.29;0.14;0.10;0
rhel.mac.local;600;2019-11-07 09:35:01 UTC;0;742;0.25;0.27;0.18;0
rhel.mac.local;600;2019-11-07 09:45:01 UTC;3;744;0.13;0.19;0.17;0
rhel.mac.local;600;2019-11-07 09:55:01 UTC;0;742;0.26;0.17;0.17;0
rhel.mac.local;600;2019-11-07 10:05:01 UTC;0;742;0.24;0.20;0.18;0
rhel.mac.local;600;2019-11-07 10:15:01 UTC;0;739;0.02;0.08;0.13;0
rhel.mac.local;600;2019-11-07 10:25:01 UTC;0;740;0.20;0.22;0.18;0
rhel.mac.local;600;2019-11-07 10:35:01 UTC;0;741;0.08;0.15;0.16;0
rhel.mac.local;600;2019-11-07 10:45:01 UTC;0;734;0.33;0.21;0.17;0
rhel.mac.local;600;2019-11-07 10:55:01 UTC;0;738;0.18;0.21;0.18;0
rhel.mac.local;600;2019-11-07 11:05:01 UTC;0;737;0.53;0.24;0.19;1
rhel.mac.local;600;2019-11-07 11:15:01 UTC;2;736;0.17;0.15;0.16;0
rhel.mac.local;600;2019-11-07 11:25:01 UTC;0;736;0.35;0.24;0.19;0
rhel.mac.local;600;2019-11-07 11:35:01 UTC;0;736;0.20;0.20;0.18;0
rhel.mac.local;600;2019-11-07 11:45:01 UTC;0;735;0.21;0.22;0.19;0
rhel.mac.local;600;2019-11-07 11:55:01 UTC;17;745;0.05;0.17;0.17;0
rhel.mac.local;600;2019-11-07 12:05:01 UTC;0;736;0.19;0.14;0.14;0
rhel.mac.local;600;2019-11-07 12:15:01 UTC;0;736;0.18;0.10;0.10;0
rhel.mac.local;600;2019-11-07 12:25:01 UTC;0;736;0.10;0.12;0.09;0
rhel.mac.local;600;2019-11-07 12:35:01 UTC;0;738;0.04;0.09;0.08;0
rhel.mac.local;600;2019-11-07 12:45:01 UTC;0;737;0.03;0.16;0.13;0
rhel.mac.local;599;2019-11-07 12:55:01 UTC;0;731;0.10;0.16;0.15;0
rhel.mac.local;600;2019-11-07 13:05:01 UTC;0;732;0.21;0.13;0.13;0
rhel.mac.local;600;2019-11-07 13:15:01 UTC;0;734;0.03;0.07;0.08;0
rhel.mac.local;600;2019-11-07 13:25:01 UTC;3;731;0.01;0.08;0.08;0
rhel.mac.local;600;2019-11-07 13:35:01 UTC;0;730;0.00;0.02;0.04;0
rhel.mac.local;308;2019-11-07 14:15:01 UTC;1;731;0.00;0.00;0.02;0
rhel.mac.local;600;2019-11-07 14:25:01 UTC;0;729;0.00;0.00;0.00;0
rhel.mac.local;600;2019-11-07 14:35:01 UTC;0;731;0.01;0.04;0.01;0
rhel.mac.local;600;2019-11-07 14:45:01 UTC;0;730;0.01;0.02;0.00;0
rhel.mac.local;600;2019-11-07 14:55:01 UTC;1;731;0.00;0.00;0.00;0
rhel.mac.local;600;2019-11-07 15:05:01 UTC;0;728;0.04;0.02;0.00;0
rhel.mac.local;600;2019-11-07 15:15:01 UTC;0;728;0.05;0.07;0.01;0
rhel.mac.local;600;2019-11-07 15:25:01 UTC;0;729;0.00;0.01;0.00;0
rhel.mac.local;600;2019-11-07 15:35:01 UTC;0;731;0.03;0.04;0.00;0
rhel.mac.local;600;2019-11-07 15:45:01 UTC;0;730;0.02;0.03;0.00;0
rhel.mac.local;600;2019-11-07 15:55:01 UTC;1;631;1.95;1.06;0.41;0
rhel.mac.local;239;2019-11-07 16:05:01 UTC;0;605;0.09;0.51;0.33;0
rhel.mac.local;600;2019-11-07 16:15:01 UTC;5;757;0.95;0.40;0.29;0
rhel.mac.local;600;2019-11-07 16:25:01 UTC;0;808;0.29;0.29;0.27;0
rhel.mac.local;600;2019-11-07 16:35:01 UTC;0;831;0.24;0.14;0.19;0
rhel.mac.local;600;2019-11-07 16:45:01 UTC;0;849;1.20;0.57;0.32;0Cannot open /var/log/sysstat/sa07: No such file or directory